artist,syl,lines,l_rhymes,int_rhymes,words,unique_w,lps,ips,lpl,ipl,lpw,ipw,ipuw,lpuw
2pac,199,18,304,137,159,154,1.527638190954774,0.6884422110552764,16.88888888888889,7.611111111111111,0.9967213114754099,0.8616352201257862,0.8896103896103896,1.974025974025974
2pac,219,16,479,217,147,141,2.187214611872146,0.9908675799086758,29.9375,13.5625,1.767527675276753,1.476190476190476,1.5390070921985815,3.397163120567376
2pac,216,17,418,237,144,141,1.935185185185185,1.097222222222222,24.58823529411765,13.94117647058824,1.548148148148148,1.645833333333333,1.6808510638297873,2.9645390070921986
2pac,213,16,412,203,153,144,1.934272300469484,0.9530516431924883,25.75,12.6875,1.415807560137457,1.326797385620915,1.4097222222222223,2.861111111111111
2pac,234,20,454,238,161,157,1.94017094017094,1.017094017094017,22.7,11.9,1.464516129032258,1.478260869565217,1.515923566878981,2.8917197452229297
2pac,204,17,431,232,148,143,2.112745098039216,1.137254901960784,25.35294117647059,13.64705882352941,1.544802867383513,1.567567567567568,1.6223776223776223,3.013986013986014
2pac,128,11,202,112,98,93,1.578125,0.875,18.36363636363636,10.18181818181818,1.128491620111732,1.142857142857143,1.2043010752688172,2.172043010752688
2pac,122,11,212,142,95,91,1.737704918032787,1.163934426229508,19.27272727272727,12.90909090909091,1.232558139534884,1.494736842105263,1.5604395604395604,2.32967032967033
2pac,175,16,237,104,133,126,1.354285714285714,0.5942857142857143,14.8125,6.5,0.9634146341463414,0.7819548872180451,0.8253968253968254,1.880952380952381
2pac,169,15,253,130,132,131,1.497041420118343,0.7692307692307693,16.86666666666667,8.666666666666666,1.012,0.9848484848484849,0.9923664122137404,1.9312977099236641
2pac,194,16,266,118,163,154,1.371134020618557,0.6082474226804123,16.625,7.375,0.8721311475409836,0.7239263803680982,0.7662337662337663,1.7272727272727273
2pac,192,16,263,139,157,144,1.369791666666667,0.7239583333333334,16.4375,8.6875,0.8976109215017065,0.8853503184713376,0.9652777777777778,1.8263888888888888
2pac,197,16,272,147,151,147,1.380710659898477,0.7461928934010152,17.0,9.1875,0.974910394265233,0.9735099337748344,1.0,1.8503401360544218
2pac,210,17,344,170,168,160,1.638095238095238,0.8095238095238095,20.23529411764706,10.0,1.065015479876161,1.011904761904762,1.0625,2.15
2pac,202,16,287,181,156,152,1.420792079207921,0.8960396039603961,17.9375,11.3125,0.9896551724137931,1.16025641025641,1.1907894736842106,1.888157894736842
2pac,197,16,355,212,149,140,1.802030456852792,1.076142131979695,22.1875,13.25,1.286231884057971,1.422818791946309,1.5142857142857142,2.5357142857142856
2pac,223,17,395,212,165,157,1.771300448430493,0.9506726457399103,23.23529411764706,12.47058823529412,1.266025641025641,1.284848484848485,1.3503184713375795,2.515923566878981
2pac,203,17,332,181,159,151,1.635467980295567,0.8916256157635468,19.52941176470588,10.64705882352941,1.092105263157895,1.138364779874214,1.1986754966887416,2.198675496688742
2pac,204,17,308,150,165,159,1.509803921568627,0.7352941176470589,18.11764705882353,8.823529411764707,0.9903536977491961,0.9090909090909091,0.9433962264150944,1.9371069182389937
2pac,195,17,312,185,148,140,1.6,0.9487179487179487,18.35294117647059,10.88235294117647,1.114285714285714,1.25,1.3214285714285714,2.2285714285714286
2pac,165,16,217,92,142,133,1.315151515151515,0.5575757575757576,13.5625,5.75,0.7805755395683454,0.647887323943662,0.6917293233082706,1.631578947368421
2pac,267,24,376,174,206,201,1.408239700374532,0.651685393258427,15.66666666666667,7.25,0.9591836734693877,0.8446601941747572,0.8656716417910447,1.8706467661691542
2pac,278,25,377,177,223,211,1.356115107913669,0.6366906474820144,15.08,7.08,0.8808411214953271,0.7937219730941704,0.8388625592417062,1.7867298578199051
2pac,220,20,243,122,179,176,1.104545454545454,0.5545454545454546,12.15,6.1,0.7126099706744868,0.6815642458100558,0.6931818181818182,1.3806818181818181
2pac,256,24,344,153,206,200,1.34375,0.59765625,14.33333333333333,6.375,0.864321608040201,0.7427184466019418,0.765,1.72
2pac,209,17,352,206,156,152,1.684210526315789,0.9856459330143541,20.70588235294118,12.11764705882353,1.230769230769231,1.32051282051282,1.355263157894737,2.3157894736842106
2pac,304,27,426,252,235,228,1.401315789473684,0.8289473684210527,15.77777777777778,9.333333333333334,0.9260869565217391,1.072340425531915,1.105263157894737,1.868421052631579
2pac,195,16,272,134,155,151,1.394871794871795,0.6871794871794872,17.0,8.375,0.9379310344827586,0.864516129032258,0.8874172185430463,1.8013245033112584
2pac,254,22,388,189,206,193,1.52755905511811,0.7440944881889764,17.63636363636364,8.590909090909092,0.9797979797979798,0.9174757281553398,0.9792746113989638,2.010362694300518
2pac,229,20,310,145,185,181,1.353711790393013,0.6331877729257642,15.5,7.25,0.8831908831908832,0.7837837837837838,0.8011049723756906,1.712707182320442
2pac,215,17,389,202,166,160,1.809302325581395,0.9395348837209302,22.88235294117647,11.88235294117647,1.227129337539432,1.216867469879518,1.2625,2.43125
2pac,199,17,353,163,156,152,1.773869346733668,0.8190954773869347,20.76470588235294,9.588235294117647,1.204778156996587,1.044871794871795,1.0723684210526316,2.3223684210526314
2pac,190,16,329,154,143,140,1.731578947368421,0.8105263157894737,20.5625,9.625,1.241509433962264,1.076923076923077,1.1,2.35
2pac,108,9,154,95,81,77,1.425925925925926,0.8796296296296297,17.11111111111111,10.55555555555556,1.062068965517241,1.17283950617284,1.2337662337662338,2.0
2pac,84,10,97,49,72,70,1.154761904761905,0.5833333333333334,9.7,4.9,0.708029197080292,0.6805555555555556,0.7,1.3857142857142857
